title,price,link_item,image_url,discount_percent_list,rating_average,review_count,official
ĐẦM HOA PHỐI DẬP LY TAY LỒNG ĐÈN - DAM 0019,398000,https://tiki.vn/dam-hoa-phoi-dap-ly-tay-long-den-dam-0019-p182308585.html?spid=182308591,https://salt.tikicdn.com/cache/280x280/ts/product/c3/86/37/6704a1e126a2f6210269d38790d065bb.jpg,0,5.0,3,1
Đầm xòe phối hoa ngực quyến rũ D025- Lady fashion,210000,https://tiki.vn/dam-xoe-phoi-hoa-nguc-quyen-ru-d025-lady-fashion-p195549407.html?spid=195549415,https://salt.tikicdn.com/cache/280x280/ts/product/07/4b/67/1b802ca092426704dda93efb69720bc9.jpg,46,4.6,5,1
"váy len suông dài tay bo tay,đầm suông nữ len gân dáng dài thu đông 3 màu cá tính",85000,https://tiki.vn/vay-len-suong-dai-tay-bo-tay-dam-suong-nu-len-gan-dang-dai-thu-dong-3-mau-ca-tinh-p147043717.html?spid=147043719,https://salt.tikicdn.com/cache/280x280/ts/product/45/ac/c4/176cbcfed601f7da3a3c94dbc71025a9.jpg,0,4.8,29,0
"váy trễ vai trắng tay bồng dáng dài, đầm trễ vai tiểu thư dự tiệc màu trắng điệu đà",80000,https://tiki.vn/vay-tre-vai-trang-tay-bong-dang-dai-dam-tre-vai-tieu-thu-du-tiec-mau-trang-dieu-da-p151425630.html?spid=151425632,https://salt.tikicdn.com/cache/280x280/ts/product/33/cd/be/0c270bcaada8f2a9e3ca0202daebf2fd.jpg,0,4.5,43,0
"Đầm suông linen tưng gân sát nách cổ bẻ thêu hoa trẻ trung ArcticHunter, thời trang thương hiệu chính hãng",380000,https://tiki.vn/dam-suong-linen-tung-gan-sat-nach-co-be-theu-hoa-tre-trung-archunter-thoi-trang-thuong-hieu-chinh-hang-p187336369.html?spid=187336381,https://salt.tikicdn.com/cache/280x280/ts/product/6c/72/82/447737975d4cf7d32016ad4f6a25153e.jpg,0,5.0,2,1
Đầm Hàn Quốc xuất khẩu cao cấp Bigsize May 10 mã 050221353XKT,156000,https://tiki.vn/dam-han-quoc-xuat-khau-cao-cap-bigsize-may-10-ma-050221353xkt-p122483987.html?spid=122483997,https://salt.tikicdn.com/cache/280x280/ts/product/2a/8f/88/dd9626ede40939a07b5389fe2ab6c4af.jpg,0,4.7,15,1
"Đầm suông linen tay lỡ kèm đai rời túi sườn ArcticHunter, thời trang trẻ, phong cách Hàn - Trắng",250000,https://tiki.vn/dam-suong-linen-tay-lo-kem-dai-roi-tui-suon-arctichunter-thoi-trang-tre-phong-cach-han-trang-p77029858.html?spid=77029860,https://salt.tikicdn.com/cache/280x280/ts/product/4f/3f/29/102582d664f36e39f085d5a76a03fc5e.jpg,0,4.1,81,1
ĐẦM DỰ TIỆC CAO CẤP,350000,https://tiki.vn/dam-du-tiec-cao-cap-p14980156.html?spid=14980158,https://salt.tikicdn.com/cache/280x280/ts/product/7a/c5/90/a3d36c1977dad6193e66ada855e54f1d.jpg,0,4.7,9,0
LEMME-Đầm sơ mi tay ngắn fom rộng xẻ tà,265000,https://tiki.vn/lemme-dam-so-mi-tay-ngan-fom-rong-xe-ta-p199579469.html?spid=199579511,https://salt.tikicdn.com/cache/280x280/ts/product/ca/a6/e8/82131e8a848270c58f389d3645d992af.jpg,0,0.0,0,0
Đầm gấm kết hoa xinh sang trọng MS 2597,440000,https://tiki.vn/dam-gam-ket-hoa-xinh-sang-trong-ms-2597-p272596907.html?spid=272596909,https://salt.tikicdn.com/cache/280x280/ts/product/21/a4/4d/28746d943af1996899b7771840373d7e.jpg,0,5.0,1,0
"Váy sơ mi dáng dài , Đầm nữ form suông , tay lỡ , chất đũi mềm mát DVDA161",299000,https://tiki.vn/vay-so-mi-dang-dai-dam-nu-form-suong-tay-lo-chat-dui-mem-mat-dvda161-p190300053.html?spid=190300059,https://salt.tikicdn.com/cache/280x280/ts/product/26/f7/4e/a73251f2ccfb83bcb6b49598bb049d4a.jpg,0,1.0,1,1
