title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
[Trả góp 0%]Thùng cpu Dell Optiplex 790 chip Core i5 2400 RAM 8GB SSD 120gb HDD 500GB. Tặng chuột không dây. Hàng Nhập Khẩu,2.132.000 ₫,https://www.lazada.vn/products/tra-gop-0thung-cpu-dell-optiplex-790-chip-core-i5-2400-ram-8gb-ssd-120gb-hdd-500gb-tang-chuot-khong-day-hang-nhap-khau-i241960873.html,https://img.lazcdn.com/g/p/da8aaa47e2ffda535cafb8d939b6f9a4.jpg_400x400q75.jpg_.webp,31,31,30% Off,"11 Đã bán
(7)
Hà Nội",lazada,computerandlaptop,computer,31,0
Mini PC Dell Optiplex 3000 micro desktop - core i5 12600T - Alder Lake,8.990.000 ₫,https://www.lazada.vn/products/mini-pc-dell-optiplex-3000-micro-desktop-core-i5-12600t-alder-lake-i2457034516.html,https://img.lazcdn.com/g/p/8623d5bb7a686745d863d5443cc08680.jpg_400x400q75.jpg_.webp,32,32,,Hồ Chí Minh,lazada,computerandlaptop,computer,32,0
Mini PC đồng bộ Dell Optiplex 3070 5070 7070 micro Win11 bản quyền,4.290.000 ₫,https://www.lazada.vn/products/mini-pc-dong-bo-dell-optiplex-3070-5070-7070-micro-win11-ban-quyen-i2512388055.html,https://img.lazcdn.com/g/p/8ad91fae3233fa138a69a5e7f58035d2.jpg_400x400q75.jpg_.webp,33,33,,Hồ Chí Minh,lazada,computerandlaptop,computer,33,0
"Máy tính Dell Optiplex 7040, CPU Core i5 6500, DDR4 8Gb, SSD 240G , Hàng nhập khẩu, - Bảo hành 24 tháng",3.590.000 ₫,https://www.lazada.vn/products/may-tinh-dell-optiplex-7040-cpu-core-i5-6500-ddr4-8gb-ssd-240g-hang-nhap-khau-bao-hanh-24-thang-i2013356999.html,https://img.lazcdn.com/g/p/6124fc2d84dd23e6434e46fae86d19dc.png_400x400q75.png_.webp,34,34,28% Off,"145 Đã bán
(28)
Hà Nội",lazada,computerandlaptop,computer,34,0
Mini PC Dell Optiplex 3090 micro desktop - CPU thế hệ thứ 10 11,5.690.000 ₫,https://www.lazada.vn/products/mini-pc-dell-optiplex-3090-micro-desktop-cpu-the-he-thu-10-11-i2512346296.html,https://img.lazcdn.com/g/p/3ac40affae4965819b2940cb67c13392.jpg_400x400q75.jpg_.webp,35,35,,Hồ Chí Minh,lazada,computerandlaptop,computer,35,0
"Case máy tính để bàn, máy tình đồng bộ MAX PC CPU Core i5 2400 Ram 8GB SSD 128GB+HDD 250GB+ Qùa tặng bộ phím chuột, bàn di chuột. Bảo hành 12 tháng.",2.503.000 ₫,https://www.lazada.vn/products/case-may-tinh-de-ban-may-tinh-dong-bo-max-pc-cpu-core-i5-2400-ram-8gb-ssd-128gbhdd-250gb-qua-tang-bo-phim-chuot-ban-di-chuot-bao-hanh-12-thang-i1448796918.html,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9pLmltZ3VyLmNvbS9hOVpxWmlPLmpwZw==_400x400q75.png_.webp,36,36,30% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,36,0
[Trả góp 0%]Bộ máy tính để bàn DELL optiplex 9020 cấu hình khủng (core i7 4770 Ram 4gb ổ cứng ssd 120gb VGA rời 2gb ) Màn hình DELL 22inch FULL BOX. Tặng ngay bàn phím chuột DELL,11.800.000 ₫,https://www.lazada.vn/products/tra-gop-0bo-may-tinh-de-ban-dell-optiplex-9020-cau-hinh-khung-core-i7-4770-ram-4gb-o-cung-ssd-120gb-vga-roi-2gb-man-hinh-dell-22inch-full-box-tang-ngay-ban-phim-chuot-dell-i235680509.html,https://img.lazcdn.com/g/p/688b1059ce486b6e1ae30f545eac74d1.jpg_400x400q75.jpg_.webp,37,37,30% Off,Hà Nội,lazada,computerandlaptop,computer,37,0
Cây máy tính để bàn DELL Optiplex 3020 intel core i7  4770 / i5 4570 / i3 4130 | ram 8GB | ổ cứng SSD 240GB. Hàng Nhập Khẩu,1.895.000 ₫,https://www.lazada.vn/products/cay-may-tinh-de-ban-dell-optiplex-3020-intel-core-i7-4770-i5-4570-i3-4130-ram-8gb-o-cung-ssd-240gb-hang-nhap-khau-i200032748.html,https://img.lazcdn.com/g/p/040d1e15a27c3edba3639920f68732a9.jpg_400x400q75.jpg_.webp,38,38,46% Off,"5 Đã bán
(1)
Hà Nội",lazada,computerandlaptop,computer,38,0
Máy tính đồng bộ Dell Optiplex 7010 SFF Core i7 3770 | Ram 16GB | ổ cứng SSD 120GB + HDD 500GB. Hàng Nhập Khẩu,2.750.000 ₫,https://www.lazada.vn/products/may-tinh-dong-bo-dell-optiplex-7010-sff-core-i7-3770-ram-16gb-o-cung-ssd-120gb-hdd-500gb-hang-nhap-khau-i200032753.html,https://img.lazcdn.com/g/p/f778e52fa119ba4fbed231cdd57a1194.jpg_400x400q75.jpg_.webp,39,39,26% Off,"(1)
Hà Nội",lazada,computerandlaptop,computer,39,0
2024 NEW desktop pc Intel Core i7 desktop pc All-in-One PC 24 inch Computer Desktop PC 8G/16GB RAM 256G/512GB SSD Wireless Mouse and Keyboard Free ASUS Wireless Keyboard 2 year warranty All in One computer,11.562.000 ₫,https://www.lazada.vn/products/2024-new-desktop-pc-intel-core-i7-desktop-pc-all-in-one-pc-24-inch-computer-desktop-pc-8g16gb-ram-256g512gb-ssd-wireless-mouse-and-keyboard-free-asus-wireless-keyboard-2-year-warranty-all-in-one-computer-i1815733547.html,https://img.lazcdn.com/g/p/02150ab479f4338c6738fff3fe2f6b56.jpg_400x400q75.jpg_.webp,40,40,17% Off,"40 Đã bán
(17)
Hồ Chí Minh",lazada,computerandlaptop,computer,40,0
