title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
"Laptop Workstation Fujitsu Celcius H780 Core i7-8850H, 64gb ram, 512gb SSD, vga Quadro P1000M, màn 15.6” Full HD vỏ nhôm sang trọng",6.800.000 ₫,https://www.lazada.vn/products/laptop-workstation-fujitsu-celcius-h780-core-i7-8850h-64gb-ram-512gb-ssd-vga-quadro-p1000m-man-156-full-hd-vo-nhom-sang-trong-i2357542748.html,8,8,,"(1)
Hưng Yên",lazada,8,
Laptop Gaming Dell 5570 Core i7 - 6820HQ/Ram 16Gb/SSD 256Gb/Fhd Mạnh Mẽ - Máy Tính Chạy 24/24,6.850.000 ₫,https://www.lazada.vn/products/laptop-gaming-dell-5570-core-i7-6820hqram-16gbssd-256gbfhd-manh-me-may-tinh-chay-2424-i2559542416.html,9,9,24% Off,Hồ Chí Minh,lazada,9,
Laptop cũ giá rẻ,2.000.000 ₫,https://www.lazada.vn/products/laptop-cu-gia-re-i2634372737.html,10,10,,Hồ Chí Minh,lazada,10,
Laptop Dell E7440 rã xác linh kiện còn dùng được,120.000 ₫,https://www.lazada.vn/products/laptop-dell-e7440-ra-xac-linh-kien-con-dung-duoc-i1840583232.html,11,11,,Hồ Chí Minh,lazada,11,
Dell Inspiron N5547 Core i5 4210U Ram 8GB SSD 256GB 15.6inch/SẠC/CHUỘT/ TÚI,4.320.000 ₫,https://www.lazada.vn/products/dell-inspiron-n5547-core-i5-4210u-ram-8gb-ssd-256gb-156inchsacchuot-tui-i2079787880.html,12,12,26% Off,"(2)
Hồ Chí Minh",lazada,12,
Laptop Gaming đồ hoạ cũ HP 4545s Core i5 /Ram 8Gb/Ổ SSD /Màn to/ MáyTính Rẻ,3.990.000 ₫,https://www.lazada.vn/products/laptop-gaming-do-hoa-cu-hp-4545s-core-i5-ram-8gbo-ssd-man-to-maytinh-re-i2115051905.html,13,13,5% Off,"21 Đã bán
(6)
Hà Nội",lazada,13,
"Lenovo Thinkpad X1 Carbon Gen 7 [CAM KẾT 100% HÀNG NHẬP USA] Laptop Cũ Core i5 - 8365U| Ram 16GB| SSD 256GB| Màn 14″ FHD IPS, Win 10 Bản quyền, Cam kết sản phẩm đúng mô tả, Chất lượng đảm bảo, Bảo hành đầy đủ",10.200.000 ₫,https://www.lazada.vn/products/lenovo-thinkpad-x1-carbon-gen-7-cam-ket-100-hang-nhap-usa-laptop-cu-core-i5-8365u-ram-16gb-ssd-256gb-man-14-fhd-ips-win-10-ban-quyen-cam-ket-san-pham-dung-mo-ta-chat-luong-dam-bao-bao-hanh-day-du-i2252322054.html,14,14,3% Off,Hà Nội,lazada,14,
Laptop HP ProBook 450 G7 i5-10210U/8GB/256GB SSD (màn hình 15.6/ Intel UHD 620/ nặng 1.8kg),7.500.000 ₫,https://www.lazada.vn/products/laptop-hp-probook-450-g7-i5-10210u8gb256gb-ssd-man-hinh-156-intel-uhd-620-nang-18kg-i2535134676.html,15,15,,Hà Nội,lazada,15,
[Trả góp 0%]DELL LATITUDE E5570 CORE I7 6820HQ Ram 16G SSD 256G 15.6inch FHD VGA,6.210.000 ₫,https://www.lazada.vn/products/tra-gop-0dell-latitude-e5570-core-i7-6820hq-ram-16g-ssd-256g-156inch-fhd-vga-i1228368853.html,16,16,48% Off,"(1)
Hồ Chí Minh",lazada,16,
"Laptop Lenovo ThinkPad X12 Detachable - Core i7-1160G7 RAM 16G SSD 512G Màn 12,5 Inch FHD+ Touch ( Bảo Hành 3 đến 12 Tháng )",18.700.000 ₫,https://www.lazada.vn/products/laptop-lenovo-thinkpad-x12-detachable-core-i7-1160g7-ram-16g-ssd-512g-man-125-inch-fhd-touch-bao-hanh-3-den-12-thang-i2461941933.html,17,17,,Hồ Chí Minh,lazada,17,
